Question,Answer,Category,Crop,QueryType
asking about the control measure for aphid infestation in mustard crops,suggested him to spray rogor@2ml/lit.at evening time.,General,General,General
asking about the control measure of flower drop problem in his coconut plant,"suggested him to apply fertilizer in recommended dose like urea-600gm,ssp-1kg,mop-700gm,borax-25gm twice in a year(march/april and september/october)followed by trench method and also suggested him to spray planofix@1teaspoonful per20-25 liter of water.",General,General,General
asking about how to avail kisan credit card loan for sali crop.,"suggested to consult with officer-marketing and recovery (rural),sbi local branch for details.",General,General,General
asking about source of early ahu rice variety,"suggested to take early ahu rice variety from atic,jorhat,aau campus through parcel or direct taking.",General,General,General
asking that he has not got proper friut from his coconut plant,"suggested him to aplly recommended fertilizer dose-urea@1.5 kg,ssp@2.5kg,mop@1.75 kg,borax@25 gm./plant/year in trench method.",General,General,General
asking about induced breeding of fishes,given details about induced breeding of fishes.,General,General,General
asking about training for preparation of biomanure,"suggested to approach district agricultural officer  or atic,jorhat,ph (0376)2310240",General,General,General
asking about treatment of low production of milk in cow,"suggested to provide mineral mixture like ranmix total, milkmin, gwala etc at recommanded dose along with feed.also, suggested to feed high protienous green fodder like cowpea, berseem, lucern etc.",General,General,General
asking about the premature fruit dropping of coconut.,suggested to apply bordeaux mixture. apply borax @ 50 gm/plant per year along with urea & ssp.,General,General,General
asking  about  preservatives  of  tomato squash.,suggested  preservatives  are: 1. benjoic acid &  2.  sulphar  dioxide . these chemicals re used to preserve for severel weeks.,General,General,General
asking about a pre emergence weedicide for rice,suggested herbicide- butachlor ( machete ) which is a  pre-emergence weedicide.,General,General,General
asking about the control measures for damping off infestation on biter gourd crops.,suggested to apply dithane m- 45 @ 2-3ml/litre of water and also to check irrigation water supply in the field.,General,General,General
asking about culture of chitala along with carps.,"suggested that he should go for the single species culture in one pond or he can culture some other species along with chitala, but in the second case, size of other species should be larger than chitala .",General,General,General
asking about the suitable varieties for transplanted early ahu crops.,"suggested suitable early ahu varieties are as saket-4, ir-50, govind, ir-36, cauvery, krishna, jaya, ir-8, luit, kopilee.",General,General,General
asking about the fym or compost requirement in blackgram crops/bigha,"suggested fym or compost requirement for blackgram crops as 6 quintql/bigha, this not only adds fertility but also improves soil structures.",General,General,General
asking about availibility of quail  birds for commercial purpose,"suggested to contact with  central agricultural university , mizoram for availibility of quail  birds",General,General,General
asking about the control measures to be taken on bacterial wilt in brinjal crops.,suggested to apply 100 ppm agromycine or streptomycine twice in a week and also to avoid water stagnation in the field.,General,General,General
asking about an n.g.o which is doing watershed project,suggested to contact deshbandhu club which is situated in cachar district,General,General,General
asking about the how to take control measures of flower and fruit dropping on aonla fruits trees,suggested to either spray planofix @ 1ml/4litre of water or apply borax @ 200 g/plant at the base of the tree by making ring .,General,General,General
asking about with what chemical seed treatment of maize should be done against seed borne  diseases attack.,suggested that the seeds of maize should be treated with  bavistin @ 2 g/ kg of seeds or captaf @ 2- 2.5 g /kg of seeds before or after sowing.,General,General,General
asking about precautionary measure for preventing disease of fish.,suggested to apply lime @ 1000 kg/ hac/yr. one third of the required dose is to be applied  at the time of pond preparation & the remaining portion is to be applied in equal monthly installment. he is also suggested to maintain the water quality properly.,General,General,General
asking about the remedial measures for fruit droping problem in chayote crops.,suggested him to apply cow dung manure @7kg/plant at the base of the plant and spray planofix @2ml/litre of water at 15 days interval.,General,General,General
asking about the sowing season of pumkin crops.,suggested him that pumkin can be grown in two season i.e january to april for summer hervest and september to november for spring hervest.,General,General,General
